City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,Male,4.1748,73.5089,81.84,74,100,17.94,MV,2021-11-20 19:14:08
69,San Carlos De Bariloche,-41.1456,-71.3082,75.43,30,40,24.16,AR,2021-11-20 19:18:35
70,Mafinga,-7.25,35.0667,81.79,28,8,9.28,TZ,2021-11-20 19:18:35
71,Castro,-24.7911,-50.0119,71.55,64,95,7.67,BR,2021-11-20 19:18:35
72,Dingle,10.9995,122.6711,75.87,91,100,4.5,PH,2021-11-20 19:18:36
73,Port Hardy,50.6996,-127.4199,44.6,93,90,3.44,CA,2021-11-20 19:18:36
74,Eaglesfield,54.6406,-3.4044,45.9,90,23,13.69,GB,2021-11-20 19:18:37
75,Ravar,31.2656,56.8055,51.89,35,0,2.51,IR,2021-11-20 19:18:37
76,Moindou,-21.6924,165.677,67.95,80,100,3.98,NC,2021-11-20 19:18:37
77,Clyde River,70.4692,-68.5914,5.43,93,100,7.58,CA,2021-11-20 19:14:14
78,Bullhead City,35.1478,-114.5683,78.28,20,20,19.57,US,2021-11-20 19:18:38
79,Bengkulu,-3.8004,102.2655,76.06,90,51,4.61,ID,2021-11-20 19:18:38
80,Atuona,-9.8,-139.0333,79.23,71,3,13.24,PF,2021-11-20 19:18:38
81,Aklavik,68.2191,-135.0107,4.03,85,75,4.61,CA,2021-11-20 19:18:39
82,Hobyo,5.3505,48.5268,80.02,68,88,13.69,SO,2021-11-20 19:18:39
83,Bredasdorp,-34.5322,20.0403,63.28,73,100,16.73,ZA,2021-11-20 19:18:39
84,Kupang,-10.1667,123.5833,80.69,83,100,3.58,ID,2021-11-20 19:18:39
85,Carnarvon,-24.8667,113.6333,69.87,88,75,10.36,AU,2021-11-20 19:17:53
86,Tasiilaq,65.6145,-37.6368,28.56,96,100,16.33,GL,2021-11-20 19:18:40
87,Jalu,29.0331,21.5482,66.63,49,44,12.71,LY,2021-11-20 19:18:40
88,Sao Domingos,-13.3983,-46.3183,81.16,62,99,2.06,BR,2021-11-20 19:18:41
89,Brae,60.3964,-1.353,40.91,77,100,21.81,GB,2021-11-20 19:18:41
90,Ketchikan,55.3422,-131.6461,34.27,93,90,4.61,US,2021-11-20 19:18:41
91,Onega,63.9061,38.1404,28.71,94,100,7.7,RU,2021-11-20 19:18:42
92,Beringovskiy,63.05,179.3167,-1.57,95,39,7.99,RU,2021-11-20 19:19:42
93,Bluff,-46.6,168.3333,52.52,92,100,6.33,NZ,2021-11-20 19:19:42
94,Pangnirtung,66.1451,-65.7125,17.6,67,75,2.3,CA,2021-11-20 19:19:43
95,Acarau,-2.8856,-40.12,85.57,64,100,19.53,BR,2021-11-20 19:19:43
96,Vardo,70.3705,31.1107,31.91,70,100,28.39,NO,2021-11-20 19:19:43
97,Bairiki,1.3292,172.9752,80.6,78,75,9.22,KI,2021-11-20 19:19:44
98,Aykhal,66.0,111.5,-21.24,100,73,5.14,RU,2021-11-20 19:19:44
99,Lichinga,-13.3128,35.2406,73.49,56,20,6.91,MZ,2021-11-20 19:19:44
100,New Norfolk,-42.7826,147.0587,50.76,84,14,2.73,AU,2021-11-20 19:19:45
101,North Battleford,52.7834,-108.2847,29.41,89,100,11.25,CA,2021-11-20 19:16:31
102,Natal,-5.795,-35.2094,84.85,65,40,14.97,BR,2021-11-20 19:18:11
103,Kahului,20.8947,-156.47,80.83,73,20,0.0,US,2021-11-20 19:19:45
104,Te Anau,-45.4167,167.7167,49.51,92,100,1.61,NZ,2021-11-20 19:19:45
105,Ponazyrevo,58.3578,46.3142,28.62,98,100,3.83,RU,2021-11-20 19:19:46
106,Malabo,3.75,8.7833,80.51,83,100,7.9,GQ,2021-11-20 19:19:46
107,Lebu,-37.6167,-73.65,59.54,76,5,15.88,CL,2021-11-20 19:19:46
108,East London,-33.0153,27.9116,64.18,77,100,12.26,ZA,2021-11-20 19:19:47
109,Avarua,-21.2078,-159.775,78.85,65,20,13.8,CK,2021-11-20 19:19:47
110,Mount Isa,-20.7333,139.5,80.37,61,5,6.91,AU,2021-11-20 19:19:47
111,Nola,40.922,14.5329,60.66,50,8,0.92,IT,2021-11-20 19:19:48
112,Boende,-0.2167,20.8667,73.76,81,100,2.15,CD,2021-11-20 19:19:48
113,Abu Samrah,35.3029,37.1841,53.98,85,96,11.9,SY,2021-11-20 19:19:48
114,Yellowknife,62.456,-114.3525,0.41,84,20,12.66,CA,2021-11-20 19:19:04
