City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Nabire,ID,-3.3667,135.4833,79.2,86,98,1.32,overcast clouds
79,Saint-Philippe,RE,-21.3585,55.7679,73.22,72,3,6.96,clear sky
80,Valpacos,PT,41.6075,-7.3109,42.73,83,45,2.59,scattered clouds
81,Aitape,PG,-3.1374,142.3475,82.13,78,95,1.23,overcast clouds
82,Cayenne,GF,4.9333,-52.3333,80.1,86,0,1.14,clear sky
83,Tasiilaq,GL,65.6145,-37.6368,28.56,95,100,18.5,snow
84,Fort Nelson,CA,58.8053,-122.7002,2.53,96,76,3.53,broken clouds
85,Wuda,CN,39.4994,106.7117,20.73,28,10,27.2,clear sky
86,Urucurituba,BR,-2.6833,-57.6667,77.61,89,99,3.15,moderate rain
87,Atuona,PF,-9.8,-139.0333,79.05,70,3,12.86,clear sky
88,Ginda,IN,30.6945,78.4932,46.35,25,0,8.08,clear sky
89,Luwuk,ID,-0.9516,122.7875,81.32,81,77,0.34,broken clouds
90,Meulaboh,ID,4.1363,96.1285,75.31,95,100,4.14,light rain
91,Kavieng,PG,-2.5744,150.7967,82.33,75,92,4.94,moderate rain
92,Carnarvon,AU,-24.8667,113.6333,69.87,88,75,16.11,light rain
93,Lethem,GY,3.3803,-59.7968,82.54,68,99,9.86,overcast clouds
94,Vao,NC,-22.6667,167.4833,73.11,78,45,14.92,scattered clouds
95,Vestmanna,FO,62.1564,-7.1664,38.32,81,75,33.38,broken clouds
96,Polis,CY,35.0367,32.4264,62.42,78,48,19.77,scattered clouds
97,Ucluelet,CA,48.9329,-125.5528,47.08,86,98,0.36,overcast clouds
98,Aguililla,MX,18.7333,-102.7333,78.06,58,43,2.68,scattered clouds
99,Victoria,HK,22.2855,114.1577,74.32,87,65,5.99,broken clouds
100,Fenoarivo,MG,-18.933,47.4354,66.27,82,75,8.05,broken clouds
101,Codrington,AU,-38.2667,141.9667,58.55,61,27,10.69,scattered clouds
102,Tabou,CI,4.423,-7.3528,79.38,87,9,7.11,light rain
103,Lasa,IT,46.6166,10.7002,27.34,52,17,1.45,few clouds
104,Hobart,AU,-42.8794,147.3294,61.11,66,20,1.01,few clouds
105,Monroe,US,43.1501,-77.6831,43.5,62,90,6.91,overcast clouds
106,Punta Arenas,CL,-53.15,-70.9167,44.71,53,40,28.77,scattered clouds
107,Kaitangata,NZ,-46.2817,169.8464,61.68,62,100,5.61,light rain
108,Yerbogachen,RU,61.2767,108.0108,-0.27,96,100,2.53,overcast clouds
109,Chokurdakh,RU,70.6333,147.9167,-15.27,100,87,6.04,overcast clouds
110,Butaritari,KI,3.0707,172.7902,81.57,68,100,13.24,overcast clouds
111,Puebla,MX,18.8333,-98.0,69.08,44,15,10.22,few clouds
112,Puerto Ayora,EC,-0.7393,-90.3518,69.75,79,66,10.67,broken clouds
113,Gusau,NG,12.1628,6.6614,77.41,18,4,7.09,clear sky
114,Zhangye,CN,38.9342,100.4517,20.46,68,89,1.41,overcast clouds
115,Petrovskoye,RU,57.0104,39.2693,32.41,97,87,14.47,light snow
116,Bilma,NE,18.6853,12.9164,77.13,23,31,4.7,scattered clouds
117,Pisco,PE,-13.7,-76.2167,68.05,77,20,17.27,few clouds
118,Kamenka,RU,51.3223,42.7678,36.75,87,100,22.19,overcast clouds
119,Nikolskoye,RU,59.7035,30.7861,37.29,84,42,9.69,scattered clouds
120,New Norfolk,AU,-42.7826,147.0587,60.93,59,22,1.01,few clouds
121,Kutum,SD,14.2,24.6667,62.76,30,0,7.78,clear sky
122,Kabanjahe,ID,3.1001,98.4908,61.56,95,100,1.16,light rain
123,Maryborough,AU,-25.5333,152.7,80.6,48,100,6.38,overcast clouds
124,Cooma,AU,-36.2333,149.1333,53.37,82,90,10.36,overcast clouds
125,Kampot,KH,10.6167,104.1833,78.85,89,85,3.4,overcast clouds
126,Muli,MV,2.9167,73.5667,81.07,78,73,16.33,broken clouds
127,Bantry,IE,51.6833,-9.45,44.08,81,78,8.05,broken clouds
128,Sitka,US,57.0531,-135.33,31.46,85,100,12.33,light snow
129,Isangel,VU,-19.55,169.2667,82.51,69,75,6.91,broken clouds
130,Cabedelo,BR,-6.9811,-34.8339,79.47,74,100,12.24,overcast clouds
131,Verkhnevilyuysk,RU,63.4453,120.3167,-24.77,100,94,1.7,overcast clouds
132,Jinji,CN,23.2281,110.8261,67.46,96,74,2.17,broken clouds
133,Atasu,KZ,48.6814,71.6433,10.8,78,100,7.0,overcast clouds
134,Egvekinot,RU,66.3167,-179.1667,-0.89,67,0,8.25,clear sky
135,Mecca,SA,21.4267,39.8261,73.89,58,64,6.71,broken clouds
